Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Marginable Securities,Non-Marginable Securities
"Margin Account -3058",5478.40,379.92,5.84,-42.03,-.65,494.59,2633.16,789.95


View Summary - Dividend
Filters applied: 
Symbol,Security type(s),Sort by,Sort order,
,All,Qty #,Desc,

Symbol,Last Price $,Value $,Change $,Change %,% of Portfolio,Qty #,Cost/Share,Day's Gain $,Total Gain $,Total Gain %,YTD Gain %,Dividend Yield %,Est. Annual Income,Ex-Div Date,Dividend Pay Date,Dividend
     08/26/2025,97.54,97.5400,-0.16,-0.16,1.7804,1.0000,99.4000,-.1600,-1.8600,-1.8712,-1.8712,3.4800,3.4000,08/13/2025,09/15/2025,.8500
     09/03/2025,97.54,97.5400,-0.16,-0.16,1.7804,1.0000,96.7500,-.1600,.7900,.8165,.8165,3.4800,3.4000,08/13/2025,09/15/2025,.8500
KO,67.01,407.6218,-0.61,-0.90,7.4405,6.0830,68.5320,-3.1406,-9.2582,-2.2208,-2.2800,3.0169,12.4100,09/15/2025,10/01/2025,.5100
     01/18/2023,67.01,3.9536,-0.61,-0.90,.0722,.0590,60.1695,-.0360,.4036,11.3687,7.6293,3.0169,.1200,09/15/2025,10/01/2025,.5100
     06/10/2022,67.01,1.0051,-0.61,-0.90,.0183,.0150,66.0000,-.0092,.0152,1.5303,7.6293,3.0169,.0300,09/15/2025,10/01/2025,.5100
     07/03/2023,67.01,.0670,-0.61,-0.90,.0012,.0010,30.0000,-.0006,.0370,123.3667,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     10/02/2023,67.01,.0670,-0.61,-0.90,.0012,.0010,30.0000,-.0006,.0370,123.3667,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     12/15/2023,67.01,.0670,-0.61,-0.90,.0012,.0010,30.0000,-.0006,.0370,123.3667,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     04/01/2024,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     07/01/2024,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     10/01/2024,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     12/16/2024,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,7.6293,3.0169,.0000,09/15/2025,10/01/2025,.5100
     04/01/2025,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,67.5250,3.0169,.0000,09/15/2025,10/01/2025,.5100
     06/17/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,69.6600,-.6100,-2.6500,-3.8042,-3.8042,3.0169,2.0400,09/15/2025,10/01/2025,.5100
     06/20/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,69.1500,-.6100,-2.1400,-3.0947,-3.0947,3.0169,2.0400,09/15/2025,10/01/2025,.5100
     07/01/2025,67.01,.0670,-0.61,-0.90,.0012,.0010,40.0000,-.0006,.0270,67.5250,67.5250,3.0169,.0000,09/15/2025,10/01/2025,.5100
     07/28/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,68.7000,-.6100,-1.6900,-2.4600,-2.4600,3.0169,2.0400,09/15/2025,10/01/2025,.5100
     08/26/2025,67.01,67.0100,-0.61,-0.90,1.2232,1.0000,68.7500,-.6100,-1.7400,-2.5309,-2.5309,3.0169,2.0400,09/15/2025,10/01/2025,.5100
